stepCount,timeStamp,objectId,posX,posY,posZ,oriX,oriY,oriZ,oriW,velX,velY,velZ,omegaX,omegaY,omegaZ,qNum,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11 
105,1.0499999523162842,1,0.3501145541667938,0.005329829640686512,0.2740589678287506,0.005863303318619728,0.002487210091203451,0.014294642955064774,0.9998775124549866,0.6406872272491455,-0.02854868955910206,-0.21037466824054718,0.1954641491174698,-0.11001802980899811,-0.0019319273997098207,12,0.009777768515050411,0.4348205626010895,-0.9214526414871216,-0.0096977474167943,0.2948947250843048,-0.8813486695289612,0.00969762448221445,0.2948884665966034,-0.8813567161560059,-0.00977382156997919,0.4348176121711731,-0.9214631915092468,0.021815374493598938,3.8797667026519775,-6.967441558837891,0.008773408830165863,-0.6135221123695374,1.7305779457092285,-0.00877619069069624,-0.6134992241859436,1.7306808233261108,-0.021840065717697144,3.8797876834869385,-6.9671454429626465
106,1.059999942779541,1,0.3564017713069916,0.005040571093559265,0.2710583209991455,0.006872345227748156,0.0023848672863096,0.014300033450126648,0.9998713135719299,0.6287216544151306,-0.028925839811563492,-0.30006447434425354,0.20208632946014404,-0.017584508284926414,0.00047403492499142885,12,0.009999989531934261,0.45238780975341797,-0.9863068461418152,-0.009618682786822319,0.29592064023017883,-0.8673578500747681,0.009618319571018219,0.29591450095176697,-0.8673644661903381,-0.009996440261602402,0.45238494873046875,-0.9863145351409912,0.022222155705094337,1.756722331047058,-6.485416412353516,0.007906515151262283,0.10259140282869339,1.3990802764892578,-0.00793053675442934,0.10260290652513504,1.3992280960083008,-0.022261803969740868,1.7567344903945923,-6.485135555267334
107,1.0700000524520874,1,0.3625487685203552,0.00474381260573864,0.2673008143901825,0.007932519540190697,0.003038715338334441,0.014317024499177933,0.9998614192008972,0.6146994233131409,-0.029675830155611038,-0.37575241923332214,0.21015921235084534,0.1337662786245346,0.003819005796685815,12,0.010187349282205105,0.4379245638847351,-1.0358991622924805,-0.009548449888825417,0.3028804659843445,-0.8551422357559204,0.009547825902700424,0.30287453532218933,-0.8551473617553711,-0.010184235870838165,0.43792182207107544,-1.0359047651290894,0.018735921010375023,-1.4463249444961548,-4.959229946136475,0.007023235317319632,0.6959829330444336,1.2215646505355835,-0.007049378473311663,0.6960036158561707,1.2217110395431519,-0.018779609352350235,-1.4463144540786743,-4.959018230438232
108,1.0800000429153442,1,0.36671724915504456,0.006585055496543646,0.2669592797756195,0.003346801269799471,0.0004834095307160169,0.014809045940637589,0.9998846054077148,0.4168481230735779,0.18412426114082336,-0.0341508574783802,-0.9094416499137878,-0.5249181985855103,0.09705749899148941,12,0.010228980332612991,0.39800310134887695,-1.0390392541885376,-0.009485961869359016,0.3146287500858307,-0.843269944190979,0.009486550465226173,0.3146211802959442,-0.8432698845863342,-0.010226196609437466,0.39800065755844116,-1.0390443801879883,0.004163144621998072,-3.992145299911499,-0.3140142261981964,0.006248822435736656,1.1748274564743042,1.187225341796875,-0.006127536296844482,1.1746667623519897,1.187744140625,-0.0041960165835917,-3.992114782333374,-0.31396207213401794
109,1.090000033378601,1,0.3727651536464691,0.00742558715865016,0.2689392864704132,0.002324260538443923,0.0008084690780378878,0.015004660002887249,0.9998843669891357,0.6047918200492859,0.08405318856239319,0.19799838960170746,-0.2054283171892166,0.06184493377804756,0.0394354872405529,12,0.010108478367328644,0.3475480079650879,-0.9837281703948975,-0.00943274050951004,0.33002614974975586,-0.8302647471427917,0.009433833882212639,0.3300198018550873,-0.8302626609802246,-0.01010559219866991,0.347545862197876,-0.9837328195571899,-0.012050258927047253,-5.04550838470459,5.5311126708984375,0.005322186276316643,1.5397413969039917,1.300524353981018,-0.005271627102047205,1.5398621559143066,1.3007252216339111,0.0120604382827878,-5.045480251312256,5.531156539916992
110,1.100000023841858,1,0.3789859712123871,0.008175219409167767,0.27061760425567627,0.001260865363292396,0.0012657884508371353,0.015012097544968128,0.9998857378959656,0.6220813989639282,0.07496325671672821,0.1678316742181778,-0.21402627229690552,0.08825848251581192,0.0018677745247259736,12,0.009997744113206863,0.3044198453426361,-0.9356187582015991,-0.009382457472383976,0.3443281948566437,-0.8182350397109985,0.009383635595440865,0.34431445598602295,-0.818246066570282,-0.009993641637265682,0.3044178783893585,-0.9356226921081543,-0.01107338909059763,-4.312817573547363,4.810939311981201,0.005028300452977419,1.4302030801773071,1.202966332435608,-0.005019867792725563,1.4294636249542236,1.2016575336456299,0.01119503378868103,-4.312798023223877,4.811010360717773
111,1.1100000143051147,1,0.384822815656662,0.00913306511938572,0.2720206379890442,-0.0001977189676836133,0.0019978631753474474,0.015017520636320114,0.9998852014541626,0.5836840867996216,0.09578455239534378,0.14030487835407257,-0.2938801646232605,0.14201772212982178,0.001639918889850378,12,0.009897982701659203,0.2656044363975525,-0.8923202753067017,-0.009337791241705418,0.3571992516517639,-0.8074092268943787,0.009339025244116783,0.3571803569793701,-0.8074299693107605,-0.009893062524497509,0.26560264825820923,-0.8923236131668091,-0.009976114146411419,-3.881540536880493,4.329846382141113,0.0044666132889688015,1.2871073484420776,1.0825810432434082,-0.0044609736651182175,1.2865900993347168,1.0816105604171753,0.010057897306978703,-3.8815221786499023,4.329906940460205
112,1.1200000047683716,1,0.3915240168571472,0.009851057082414627,0.2737679183483124,-0.0011267215013504028,0.002418686868622899,0.01503285113722086,0.9998834133148193,0.670120358467102,0.07179918140172958,0.1747271865606308,-0.18703709542751312,0.08136618137359619,0.0034257357474416494,12,0.009805357083678246,0.24023732542991638,-0.8624235391616821,-0.00930126290768385,0.3726813495159149,-0.7934100031852722,0.009302159771323204,0.37266454100608826,-0.7934306263923645,-0.009799539111554623,0.2402355670928955,-0.8624261617660522,-0.009262558072805405,-2.536710023880005,2.989675521850586,0.0036527954507619143,1.5482089519500732,1.3999226093292236,-0.00368658360093832,1.5484199523925781,1.3999348878860474,0.009352368302643299,-2.5367088317871094,2.989748001098633
113,1.1299999952316284,1,0.3983677625656128,0.010570263490080833,0.2740784287452698,-0.001982584362849593,0.0017204664181917906,0.015049858950078487,0.9998832941055298,0.6843748688697815,0.07192063331604004,0.03105262666940689,-0.16904523968696594,-0.14219717681407928,0.0039728847332298756,12,0.009718503803014755,0.22582818567752838,-0.8417531847953796,-0.009377215057611465,0.4138128459453583,-0.8153361678123474,0.009378025308251381,0.41379716992378235,-0.8153544664382935,-0.00971383135765791,0.22582603991031647,-0.8417553901672363,-0.0086853401735425,-1.4409152269363403,2.0670342445373535,-0.00759517727419734,4.113149642944336,-2.1926116943359375,0.007586544379591942,4.113261699676514,-2.1923828125,0.008570714853703976,-1.4409523010253906,2.06707763671875
114,1.1399999856948853,1,0.40505144000053406,0.011281200684607029,0.27317580580711365,-0.0028341275174170732,0.0011177961714565754,0.015052782371640205,0.9998820424079895,0.6683664321899414,0.07109373062849045,-0.09026442468166351,-0.1684742420911789,-0.12308154255151749,0.001120376167818904,12,0.00963845569640398,0.22050690650939941,-0.8274461627006531,-0.009564828127622604,0.4508315324783325,-0.8690279126167297,0.009565395303070545,0.45081740617752075,-0.8690437078475952,-0.009634427726268768,0.2205049842596054,-0.8274482488632202,-0.008004830218851566,-0.5321272015571594,1.430701494216919,-0.01876133307814598,3.701866865158081,-5.369175434112549,0.01873704232275486,3.702024221420288,-5.368926048278809,0.007940394803881645,-0.5321065783500671,1.4307135343551636
115,1.149999976158142,1,0.41166800260543823,0.011987138539552689,0.2711718678474426,-0.003692666068673134,0.0005022690747864544,0.015047065913677216,0.9998798370361328,0.661655843257904,0.07059377431869507,-0.20039349794387817,-0.16983693838119507,-0.12567834556102753,-0.0005956207169219851,12,0.009565289132297039,0.22276349365711212,-0.8173701167106628,-0.009784034453332424,0.4841482937335968,-0.9376873970031738,0.009784368798136711,0.48413580656051636,-0.9377009868621826,-0.009561991319060326,0.22276180982589722,-0.8173728585243225,-0.007316682953387499,0.22565807402133942,1.0076074600219727,-0.02192065119743347,3.3316762447357178,-6.86594820022583,0.02189735695719719,3.331840753555298,-6.865724563598633,0.007243653293699026,0.2256828248500824,1.0075349807739258
116,1.159999966621399,1,0.4167163372039795,0.011300662532448769,0.2711816728115082,-0.001910724095068872,-0.0023083453997969627,0.014509548433125019,0.9998902678489685,0.5048353672027588,-0.0686476081609726,0.0009799128165468574,0.3647582530975342,-0.5570918321609497,-0.10562539845705032,12,0.009496998973190784,0.23131904006004333,-0.8098304271697998,-0.010006277821958065,0.49537044763565063,-1.0009185075759888,0.010006677359342575,0.4953594505786896,-1.000930905342102,-0.009496582671999931,0.23131516575813293,-0.8098272681236267,-0.006828993558883667,0.8555545806884766,0.7539659142494202,-0.022224271669983864,1.1222176551818848,-6.32311487197876,0.022230802103877068,1.1223626136779785,-6.322990894317627,0.0065409112721681595,0.8553358912467957,0.7545619010925293
117,1.1699999570846558,1,0.4218143820762634,0.011099856346845627,0.2725834548473358,-0.0012942386092618108,-0.001751029398292303,0.014497504569590092,0.99989253282547,0.5098034143447876,-0.02008063718676567,0.14018040895462036,0.12167272716760635,0.11323639750480652,-0.002343545202165842,12,0.009435721673071384,0.24503308534622192,-0.8033421635627747,-0.010190087370574474,0.4750765264034271,-1.0476775169372559,0.010190107859671116,0.4750668704509735,-1.0476884841918945,-0.009433676488697529,0.24501338601112366,-0.8033713698387146,-0.006127736996859312,1.3714052438735962,0.6488301753997803,-0.018381040543317795,-2.0293941497802734,-4.675902366638184,0.01834309846162796,-2.029256582260132,-4.67575740814209,0.0062906150706112385,1.369821548461914,0.6455914974212646
118,1.1799999475479126,1,0.4272189438343048,0.010956970043480396,0.27396443486213684,-0.000701393757481128,-0.0012183962389826775,0.014502843841910362,0.999893844127655,0.5404567122459412,-0.014288595877587795,0.13809683918952942,0.11701034754514694,0.10823599994182587,0.0011337571777403355,12,0.009385540150105953,0.26282209157943726,-0.7965645790100098,-0.010222190991044044,0.43035539984703064,-1.0467870235443115,0.01022222638130188,0.430346816778183,-1.0467967987060547,-0.009382822550833225,0.2628036141395569,-0.7965951561927795,-0.005018110387027264,1.7789000272750854,0.6777556538581848,-0.0032103254925459623,-4.472112655639648,0.08904694020748138,0.0032117934897542,-4.472006320953369,0.08915997296571732,0.005085330922156572,1.7790247201919556,0.6776212453842163
